2004-01,26
2004-02,11
2004-03,15
2004-04,0
2004-05,13
2004-06,10
2004-07,0
2004-08,24
2004-09,15
2004-10,22
2004-11,23
2004-12,9
2005-01,15
2005-02,8
2005-03,23
2005-04,26
2005-05,21
2005-06,9
2005-07,19
2005-08,14
2005-09,14
2005-10,18
2005-11,11
2005-12,22
2006-01,0
2006-02,16
2006-03,9
2006-04,8
2006-05,14
2006-06,13
2006-07,11
2006-08,7
2006-09,11
2006-10,10
2006-11,14
2006-12,13
2007-01,11
2007-02,11
2007-03,10
2007-04,7
2007-05,11
2007-06,12
2007-07,11
2007-08,12
2007-09,10
2007-10,13
2007-11,12
2007-12,12
2008-01,14
2008-02,9
2008-03,12
2008-04,14
2008-05,10
2008-06,15
2008-07,16
2008-08,14
2008-09,16
2008-10,15
2008-11,12
2008-12,13
2009-01,11
2009-02,13
2009-03,12
2009-04,14
2009-05,12
2009-06,13
2009-07,16
2009-08,16
2009-09,13
2009-10,12
2009-11,13
2009-12,13
2010-01,14
2010-02,13
2010-03,12
2010-04,13
2010-05,12
2010-06,11
2010-07,14
2010-08,10
2010-09,12
2010-10,11
2010-11,12
2010-12,10
2011-01,12
2011-02,11
2011-03,9
2011-04,12
2011-05,10
2011-06,11
2011-07,11
2011-08,12
2011-09,10
2011-10,10
2011-11,11
2011-12,9
2012-01,9
2012-02,9
2012-03,8
2012-04,9
2012-05,10
2012-06,11
2012-07,10
2012-08,11
2012-09,10
2012-10,11
2012-11,10
2012-12,10
2013-01,10
2013-02,9
2013-03,9
2013-04,11
2013-05,10
2013-06,10
2013-07,11
2013-08,11
2013-09,11
2013-10,13
2013-11,13
2013-12,10
2014-01,10
2014-02,10
2014-03,8
2014-04,9
2014-05,10
2014-06,11
2014-07,11
2014-08,13
2014-09,14
2014-10,13
2014-11,14
2014-12,15
2015-01,14
2015-02,11
2015-03,11
2015-04,13
2015-05,13
2015-06,14
2015-07,11
2015-08,11
2015-09,13
2015-10,14
2015-11,16
2015-12,18
2016-01,17
2016-02,15
2016-03,13
2016-04,14
2016-05,16
2016-06,16
2016-07,13
2016-08,15
2016-09,14
2016-10,15
2016-11,17
2016-12,17
2017-01,14
2017-02,12
2017-03,11
2017-04,12
2017-05,14
2017-06,13
2017-07,13
2017-08,14
2017-09,17
2017-10,23
2017-11,20
2017-12,22
2018-01,16
2018-02,14
2018-03,12
2018-04,13
2018-05,14
2018-06,15
2018-07,17
2018-08,15
2018-09,14
2018-10,15
2018-11,16
2018-12,16
2019-01,13
2019-02,13
2019-03,12
2019-04,12
2019-05,13
2019-06,14
2019-07,15
2019-08,15
2019-09,16
2019-10,15
2019-11,18
2019-12,17
2020-01,16
2020-02,15
2020-03,13
2020-04,19
2020-05,32
2020-06,27
2020-07,22
2020-08,22
2020-09,24
2020-10,28
2020-11,33
2020-12,34
2021-01,32
2021-02,22
2021-03,22
2021-04,19
2021-05,32
2021-06,38
2021-07,25
2021-08,20
2021-09,23
2021-10,21
2021-11,23
2021-12,30
2022-01,38
2022-02,33
2022-03,29
2022-04,25
2022-05,31
2022-06,34
2022-07,26
2022-08,21
2022-09,24
2022-10,28
2022-11,59
2022-12,100
2023-01,74
2023-02,48
2023-03,31
2023-04,22
2023-05,27
2023-06,31
2023-07,25
2023-08,23
2023-09,23
2023-10,33
2023-11,72
2023-12,90
2024-01,65
2024-02,34
